"LLAVE_MZS","Mz","CODCCPP","ZONA","AREA","manzana_label","mza","sexo_hombre","sexo_mujer","tipoviv_casa_independiente","tipoviv_departamento_en_edificio","tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_","tipoviv_vivienda_improvisada","tipoviv_viviendas_colectivas","tipoviv_vivienda_en_quinta","tipoviv_local_no_destinado_para_habitaci_n_humana","tipoviv_otro_tipo_de_vivienda_particular","ocup_ocupada_con_personas_presentes","ocup_ocupada_con_personas_ausentes","ocup_ocupada_de_uso_ocasional","ocup_desocupada_otra_causa","ocup_desocupada_abandonada_o_cerrada","ocup_desocupada_en_construcci_n_o_reparaci_n","ocup_desocupada_en_alquiler_o_venta","tenencia_alquilada","tenencia_propia_sin_t_tulo_de_propiedad","tenencia_propia_con_t_tulo_de_propiedad","tenencia_cedida","tenencia_otra_forma","habitaciones_promedio","viviendas_con_dato_habitaciones","personas_hogar_promedio","hogares_con_dato","poblacion_total","pct_hombres","viviendas_con_tenencia","pct_alquiler","hacinamiento_proxy"
"070101000102600037","070101000102600037",1,2600,1,"070101000102600037 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 037","037",58,57,29,3,0,0,1,0,0,0,32,0,0,0,0,0,0,10,1,17,4,0,3,32,3,34,115,50.4,32,31.2,1
"070101000102700049","070101000102700049",1,2700,1,"070101000102700049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049","049",96,103,34,14,0,0,0,0,0,0,47,0,0,0,1,0,0,15,3,25,4,0,3,47,4,52,199,48.2,47,31.9,1.33
"070101000102500049","070101000102500049",1,2500,1,"070101000102500049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049","049",103,99,36,15,0,0,0,0,0,0,50,1,0,0,0,0,0,7,5,30,6,2,3,50,4,51,202,51,50,14,1.33
"070101000101600059","070101000101600059",1,1600,1,"070101000101600059 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 059","059",97,106,56,1,0,0,0,2,0,0,59,0,0,0,0,0,0,9,3,39,8,0,3,59,3,60,203,47.8,59,15.3,1
"070101000101600030","070101000101600030",1,1600,1,"070101000101600030 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 030","030",92,113,35,2,0,0,0,0,0,0,37,0,0,0,0,0,0,11,5,20,1,0,4,37,4,56,205,44.9,37,29.7,1
"070101000102700039","070101000102700039",1,2700,1,"070101000102700039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039","039",102,107,39,2,0,0,0,0,0,0,35,3,2,0,1,0,0,7,3,22,3,0,5,35,5,45,209,48.8,35,20,1
"070101000102700056","070101000102700056",1,2700,1,"070101000102700056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056","056",92,93,43,3,0,0,0,0,0,0,41,0,4,1,0,0,0,2,3,31,5,0,4,41,5,41,185,49.7,41,4.9,1.25
"070101000102600023","070101000102600023",1,2600,1,"070101000102600023 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 023","023",54,46,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,7,3,14,6,0,3,30,3,33,100,54,30,23.3,1
"070101000102700047","070101000102700047",1,2700,1,"070101000102700047 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 047","047",96,93,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,11,3,30,2,0,3,46,4,50,189,50.8,46,23.9,1.33
"070101000102600046","070101000102600046",1,2600,1,"070101000102600046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046","046",56,71,21,9,0,0,0,0,0,0,29,1,0,0,0,0,0,5,5,18,1,0,4,29,4,31,127,44.1,29,17.2,1
