"distrito","viviendas_alquiladas","viviendas_con_tenencia","pct_alquiler"
"Lima",26985,74365,36.3
"Ancón",1134,16727,6.8
"Ate",38579,151686,25.4
"Barranco",3802,10953,34.7
"Breña",9988,24399,40.9
"Carabayllo",10497,79541,13.2
"Chaclacayo",1762,9767,18
"Chorrillos",17977,73476,24.5
"Cieneguilla",1041,8954,11.6
"Comas",21795,118375,18.4
"El Agustino",12286,46726,26.3
"Independencia",8578,48551,17.7
"Jesús María",6136,23011,26.7
"La Molina",8277,37847,21.9
"La Victoria",22935,48788,47
"Lince",6231,17525,35.6
"Los Olivos",27309,82848,33
"Lurigancho",9980,60883,16.4
"Lurin",4408,21937,20.1
"Magdalena del Mar",4994,18542,26.9
"Pueblo Libre",6744,25315,26.6
"Miraflores",12537,36953,33.9
"Pachacamac",2910,28149,10.3
"Pucusana",298,4233,7
"Puente Piedra",12092,79210,15.3
"Punta Hermosa",562,5473,10.3
"Punta Negra",197,1844,10.7
"Rímac",13019,45507,28.6
"San Bartolo",346,1933,17.9
"San Borja",7162,33497,21.4
"San Isidro",5084,20652,24.6
"San Juan de Lurigancho",49912,255522,19.5
"San Juan de Miraflores",13078,78130,16.7
"San Luis",5471,13602,40.2
"San Martín de Porres",51639,163564,31.6
"San Miguel",13274,43835,30.3
"Santa Anita",22872,51793,44.2
"Santa María del Mar",51,282,18.1
"Santa Rosa",526,8314,6.3
"Santiago de Surco",26730,97069,27.5
"Surquillo",10159,27826,36.5
"Villa el Salvador",11964,83775,14.3
"Villa María del Triunfo",8881,93821,9.5
"Provincia de Lima (total)",520202,2175200,23.9
