LLAVE_MZS,Mz,CODCCPP,ZONA,AREA,manzana_label,mza,sexo_hombre,sexo_mujer,tipoviv_casa_independiente,tipoviv_departamento_en_edificio,tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_,tipoviv_vivienda_improvisada,tipoviv_viviendas_colectivas,tipoviv_vivienda_en_quinta,tipoviv_local_no_destinado_para_habitaci_n_humana,tipoviv_otro_tipo_de_vivienda_particular,ocup_ocupada_con_personas_presentes,ocup_ocupada_con_personas_ausentes,ocup_ocupada_de_uso_ocasional,ocup_desocupada_otra_causa,ocup_desocupada_abandonada_o_cerrada,ocup_desocupada_en_construcci_n_o_reparaci_n,ocup_desocupada_en_alquiler_o_venta,tenencia_alquilada,tenencia_propia_sin_t_tulo_de_propiedad,tenencia_propia_con_t_tulo_de_propiedad,tenencia_cedida,tenencia_otra_forma,habitaciones_promedio,viviendas_con_dato_habitaciones,personas_hogar_promedio,hogares_con_dato,poblacion_total,pct_hombres,viviendas_con_tenencia,pct_alquiler,hacinamiento_proxy
070101000102600037,070101000102600037,0001,02600,1,"070101000102600037 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 037",037,58.0,57.0,29.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,17.0,4.0,0.0,3.0,32.0,3.0,34.0,115.0,50.4,32.0,31.2,1.0
070101000102700049,070101000102700049,0001,02700,1,"070101000102700049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049",049,96.0,103.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,25.0,4.0,0.0,3.0,47.0,4.0,52.0,199.0,48.2,47.0,31.9,1.33
070101000102500049,070101000102500049,0001,02500,1,"070101000102500049 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 049",049,103.0,99.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,30.0,6.0,2.0,3.0,50.0,4.0,51.0,202.0,51.0,50.0,14.0,1.33
070101000101600059,070101000101600059,0001,01600,1,"070101000101600059 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 059",059,97.0,106.0,56.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,39.0,8.0,0.0,3.0,59.0,3.0,60.0,203.0,47.8,59.0,15.3,1.0
070101000101600030,070101000101600030,0001,01600,1,"070101000101600030 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 030",030,92.0,113.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,20.0,1.0,0.0,4.0,37.0,4.0,56.0,205.0,44.9,37.0,29.7,1.0
070101000102700039,070101000102700039,0001,02700,1,"070101000102700039 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 039",039,102.0,107.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,2.0,0.0,1.0,0.0,0.0,7.0,3.0,22.0,3.0,0.0,5.0,35.0,5.0,45.0,209.0,48.8,35.0,20.0,1.0
070101000102700056,070101000102700056,0001,02700,1,"070101000102700056 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 056",056,92.0,93.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,31.0,5.0,0.0,4.0,41.0,5.0,41.0,185.0,49.7,41.0,4.9,1.25
070101000102600023,070101000102600023,0001,02600,1,"070101000102600023 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 023",023,54.0,46.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,14.0,6.0,0.0,3.0,30.0,3.0,33.0,100.0,54.0,30.0,23.3,1.0
070101000102700047,070101000102700047,0001,02700,1,"070101000102700047 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 047",047,96.0,93.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,30.0,2.0,0.0,3.0,46.0,4.0,50.0,189.0,50.8,46.0,23.9,1.33
070101000102600046,070101000102600046,0001,02600,1,"070101000102600046 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 046",046,56.0,71.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,18.0,1.0,0.0,4.0,29.0,4.0,31.0,127.0,44.1,29.0,17.2,1.0
