"area_id","manzana_label","mza","sexo_hombre","sexo_mujer","tipoviv_casa_independiente","tipoviv_departamento_en_edificio","tipoviv_vivienda_en_casa_de_vecindad_callej_n_solar_o_corral_n_","tipoviv_vivienda_improvisada","tipoviv_viviendas_colectivas","tipoviv_vivienda_en_quinta","tipoviv_local_no_destinado_para_habitaci_n_humana","tipoviv_otro_tipo_de_vivienda_particular","ocup_ocupada_con_personas_presentes","ocup_ocupada_con_personas_ausentes","ocup_ocupada_de_uso_ocasional","ocup_desocupada_otra_causa","ocup_desocupada_abandonada_o_cerrada","ocup_desocupada_en_construcci_n_o_reparaci_n","ocup_desocupada_en_alquiler_o_venta","tenencia_alquilada","tenencia_propia_sin_t_tulo_de_propiedad","tenencia_propia_con_t_tulo_de_propiedad","tenencia_cedida","tenencia_otra_forma","habitaciones_promedio","viviendas_con_dato_habitaciones","personas_hogar_promedio","hogares_con_dato","poblacion_total","pct_hombres","viviendas_con_tenencia","pct_alquiler","hacinamiento_proxy"
"07010100010010000100","070101000100100001 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 001","001",221,171,114,2,2,2,4,0,0,0,112,2,5,1,0,0,0,42,27,40,3,0,3,112,3,119,392,56.4,112,37.5,1
"07010100010010000200","070101000100100002 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002","002",61,44,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,24,1,0,0,3,27,4,27,105,58.1,27,7.4,1.33
"07010100010010000201","070101000100100002A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 002A","002A",53,47,24,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,23,0,0,0,3,23,4,23,100,53,23,0,1.33
"07010100010010000300","070101000100100003 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 003","003",27,24,17,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,6,9,1,0,2,16,3,16,51,52.9,16,0,1.5
"07010100010010000400","070101000100100004 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 004","004",21,26,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,8,0,0,2,9,4,11,47,44.7,9,0,2
"07010100010010000500","070101000100100005 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 005","005",60,60,28,2,0,0,0,0,0,0,29,0,0,0,1,0,0,3,1,24,1,0,3,29,4,31,120,50,29,10.3,1.33
"07010100010010000601","070101000100100006A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 006A","006A",21,15,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,3,8,4,8,36,58.3,8,0,1.33
"07010100010010000800","070101000100100008 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 008","008",44,50,20,0,0,0,0,0,0,0,18,1,1,0,0,0,0,0,3,15,0,0,2,18,4,21,94,46.8,18,0,2
"07010100010010000900","070101000100100009 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 009","009",32,34,15,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,3,11,0,0,2,14,4,16,66,48.5,14,0,2
"07010100010010001000","070101000100100010 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 010","010",32,37,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,3,14,5,15,69,46.4,14,0,1.67
"07010100010010001100","070101000100100011 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 011","011",14,27,12,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,1,5,3,0,2,9,4,10,41,34.1,9,0,2
"07010100010010001200","070101000100100012 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 012","012",16,17,8,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,1,5,0,0,4,6,5,7,33,48.5,6,0,1.25
"07010100010010001301","070101000100100013A, Callao,Callao,Callao,Centro Poblado: Callao,Mza: 013A","013A",35,28,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,2,14,4,14,63,55.6,14,0,2
"07010100010010001900","070101000100100019 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 019","019",43,42,26,0,0,0,0,0,0,0,20,3,0,0,3,0,0,5,1,13,1,0,3,20,4,21,85,50.6,20,25,1.33
"07010100010010002100","070101000100100021 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 021","021",25,22,10,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,9,0,0,4,9,5,10,47,53.2,9,0,1.25
"07010100010010002200","070101000100100022 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 022","022",46,40,26,0,0,0,0,0,0,0,22,2,1,0,1,0,0,4,0,17,1,0,3,22,3,27,86,53.5,22,18.2,1
"07010100010010002300","070101000100100023 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 023","023",53,45,25,0,0,0,0,0,0,0,22,2,0,0,1,0,0,1,3,15,3,0,2,22,4,25,98,54.1,22,4.5,2
"07010100010010002400","070101000100100024 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 024","024",108,95,60,0,0,0,0,0,0,0,51,8,1,0,0,0,0,6,1,37,7,0,3,51,4,56,203,53.2,51,11.8,1.33
"07010100010010002500","070101000100100025 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 025","025",51,55,32,0,0,0,0,0,0,0,25,2,4,0,1,0,0,4,2,15,4,0,3,25,4,30,106,48.1,25,16,1.33
"07010100010010002600","070101000100100026 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 026","026",60,60,34,0,0,0,0,0,0,0,26,3,1,0,4,0,0,4,1,20,1,0,4,26,4,29,120,50,26,15.4,1
"07010100010010002700","070101000100100027 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 027","027",48,51,38,0,0,0,0,0,0,0,26,2,9,0,1,0,0,3,9,13,1,0,3,26,4,26,99,48.5,26,11.5,1.33
"07010100010010002900","070101000100100029 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 029","029",21,17,12,3,0,0,0,0,0,0,14,1,0,0,0,0,0,3,1,6,4,0,2,14,3,15,38,55.3,14,21.4,1.5
"07010100010010003000","070101000100100030 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 030","030",73,81,33,9,0,0,0,0,0,0,34,2,5,0,1,0,0,5,2,27,0,0,4,34,4,40,154,47.4,34,14.7,1
"07010100010010003100","070101000100100031 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 031","031",68,60,34,1,0,0,0,0,0,0,30,0,2,0,2,1,0,11,0,17,1,1,3,30,4,36,128,53.1,30,36.7,1.33
"07010100010010003200","070101000100100032 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 032","032",60,49,26,3,0,0,0,0,0,0,25,1,1,0,0,0,2,6,10,4,5,0,3,25,4,29,109,55,25,24,1.33
"07010100010010003300","070101000100100033 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 033","033",66,77,37,0,0,0,0,0,0,0,35,0,0,0,2,0,0,10,8,15,2,0,3,35,4,40,143,46.2,35,28.6,1.33
"07010100010010003400","070101000100100034 , Callao,Callao,Callao,Centro Poblado: Callao,Mza: 034","034",59,62,25,8,0,0,0,0,0,0,32,0,0,0,1,0,0,9,0,17,6,0,4,32,3,38,121,48.8,32,28.1,0.75
