"distrito","categoria","casos"
"Callao","Alquilada",28300
"Callao","Propia sin título de propiedad",22086
"Callao","Propia con título de propiedad",48204
"Callao","Cedida",8710
"Callao","Otra forma",171
"Bellavista","Alquilada",5516
"Bellavista","Propia sin título de propiedad",2396
"Bellavista","Propia con título de propiedad",9564
"Bellavista","Cedida",1548
"Bellavista","Otra forma",49
"Carmen de la Legua Reynoso","Alquilada",2833
"Carmen de la Legua Reynoso","Propia sin título de propiedad",2102
"Carmen de la Legua Reynoso","Propia con título de propiedad",4360
"Carmen de la Legua Reynoso","Cedida",1206
"Carmen de la Legua Reynoso","Otra forma",19
"La Perla","Alquilada",5348
"La Perla","Propia sin título de propiedad",2351
"La Perla","Propia con título de propiedad",7754
"La Perla","Cedida",1068
"La Perla","Otra forma",26
"La Punta","Alquilada",377
"La Punta","Propia sin título de propiedad",34
"La Punta","Propia con título de propiedad",704
"La Punta","Cedida",54
"La Punta","Otra forma",2
"Ventanilla","Alquilada",8059
"Ventanilla","Propia sin título de propiedad",27625
"Ventanilla","Propia con título de propiedad",40001
"Ventanilla","Cedida",3925
"Ventanilla","Otra forma",83
"Mi Perú","Alquilada",1126
"Mi Perú","Propia sin título de propiedad",2443
"Mi Perú","Propia con título de propiedad",6199
"Mi Perú","Cedida",567
"Mi Perú","Otra forma",10
"Provincia Callao (total)","Alquilada",51559
"Provincia Callao (total)","Propia sin título de propiedad",59037
"Provincia Callao (total)","Propia con título de propiedad",116786
"Provincia Callao (total)","Cedida",17078
"Provincia Callao (total)","Otra forma",360
