"distrito","categoria","casos"
"Lima","Alquilada",26985
"Lima","Propia sin título de propiedad",10045
"Lima","Propia con título de propiedad",31809
"Lima","Cedida",5326
"Lima","Otra forma",200
"Ancón","Alquilada",1134
"Ancón","Propia sin título de propiedad",9539
"Ancón","Propia con título de propiedad",5111
"Ancón","Cedida",926
"Ancón","Otra forma",17
"Ate","Alquilada",38579
"Ate","Propia sin título de propiedad",46421
"Ate","Propia con título de propiedad",56636
"Ate","Cedida",9859
"Ate","Otra forma",191
"Barranco","Alquilada",3802
"Barranco","Propia sin título de propiedad",1034
"Barranco","Propia con título de propiedad",5529
"Barranco","Cedida",549
"Barranco","Otra forma",39
"Breña","Alquilada",9988
"Breña","Propia sin título de propiedad",2980
"Breña","Propia con título de propiedad",9972
"Breña","Cedida",1396
"Breña","Otra forma",63
"Carabayllo","Alquilada",10497
"Carabayllo","Propia sin título de propiedad",34213
"Carabayllo","Propia con título de propiedad",29025
"Carabayllo","Cedida",5723
"Carabayllo","Otra forma",83
"Chaclacayo","Alquilada",1762
"Chaclacayo","Propia sin título de propiedad",2168
"Chaclacayo","Propia con título de propiedad",4904
"Chaclacayo","Cedida",925
"Chaclacayo","Otra forma",8
"Chorrillos","Alquilada",17977
"Chorrillos","Propia sin título de propiedad",18827
"Chorrillos","Propia con título de propiedad",30283
"Chorrillos","Cedida",6291
"Chorrillos","Otra forma",98
"Cieneguilla","Alquilada",1041
"Cieneguilla","Propia sin título de propiedad",5139
"Cieneguilla","Propia con título de propiedad",1646
"Cieneguilla","Cedida",1117
"Cieneguilla","Otra forma",11
"Comas","Alquilada",21795
"Comas","Propia sin título de propiedad",28865
"Comas","Propia con título de propiedad",55238
"Comas","Cedida",12333
"Comas","Otra forma",144
"El Agustino","Alquilada",12286
"El Agustino","Propia sin título de propiedad",11419
"El Agustino","Propia con título de propiedad",18714
"El Agustino","Cedida",4210
"El Agustino","Otra forma",97
"Independencia","Alquilada",8578
"Independencia","Propia sin título de propiedad",11232
"Independencia","Propia con título de propiedad",23114
